time_iso8601,stars_cumulative
2017-07-27 00:00:00+00:00,153
2017-08-02 00:00:00+00:00,154
2017-08-10 00:00:00+00:00,155
2017-08-17 00:00:00+00:00,156
2017-08-24 00:00:00+00:00,157
2017-08-26 00:00:00+00:00,158
2017-08-29 00:00:00+00:00,159
2017-08-30 00:00:00+00:00,161
2017-09-07 00:00:00+00:00,162
2017-09-18 00:00:00+00:00,163
2017-09-21 00:00:00+00:00,164
2017-09-30 00:00:00+00:00,165
2017-10-06 00:00:00+00:00,166
2017-10-10 00:00:00+00:00,167
2017-10-17 00:00:00+00:00,168
2017-10-19 00:00:00+00:00,170
2017-10-20 00:00:00+00:00,171
2017-10-23 00:00:00+00:00,172
2017-10-27 00:00:00+00:00,173
2017-11-03 00:00:00+00:00,174
2017-11-08 00:00:00+00:00,175
2017-11-10 00:00:00+00:00,176
2017-12-05 00:00:00+00:00,177
2017-12-07 00:00:00+00:00,178
2017-12-12 00:00:00+00:00,179
2017-12-13 00:00:00+00:00,180
2017-12-15 00:00:00+00:00,181
2017-12-19 00:00:00+00:00,182
2017-12-24 00:00:00+00:00,183
2018-01-02 00:00:00+00:00,184
2018-01-05 00:00:00+00:00,185
2018-01-08 00:00:00+00:00,186
2018-01-17 00:00:00+00:00,187
2018-01-24 00:00:00+00:00,188
2018-01-25 00:00:00+00:00,190
2018-01-27 00:00:00+00:00,191
2018-01-30 00:00:00+00:00,192
2018-02-07 00:00:00+00:00,193
2018-02-08 00:00:00+00:00,195
2018-02-19 00:00:00+00:00,196
2018-02-20 00:00:00+00:00,197
2018-02-25 00:00:00+00:00,198
2018-03-01 00:00:00+00:00,199
2018-03-06 00:00:00+00:00,200
2018-03-14 00:00:00+00:00,201
2018-03-15 00:00:00+00:00,202
2018-03-16 00:00:00+00:00,203
2018-03-23 00:00:00+00:00,204
2018-03-26 00:00:00+00:00,206
2018-03-28 00:00:00+00:00,207
2018-04-02 00:00:00+00:00,208
2018-04-08 00:00:00+00:00,209
2018-04-11 00:00:00+00:00,210
2018-04-12 00:00:00+00:00,211
2018-04-20 00:00:00+00:00,213
2018-05-03 00:00:00+00:00,214
2018-05-05 00:00:00+00:00,215
2018-05-22 00:00:00+00:00,216
2018-05-23 00:00:00+00:00,218
2018-05-24 00:00:00+00:00,220
2018-06-01 00:00:00+00:00,222
2018-06-03 00:00:00+00:00,223
2018-06-06 00:00:00+00:00,224
2018-06-08 00:00:00+00:00,225
2018-06-09 00:00:00+00:00,227
2018-06-14 00:00:00+00:00,228
2018-06-18 00:00:00+00:00,229
2018-06-19 00:00:00+00:00,230
2018-06-21 00:00:00+00:00,231
2018-06-25 00:00:00+00:00,232
2018-06-27 00:00:00+00:00,234
2018-07-04 00:00:00+00:00,236
2018-07-13 00:00:00+00:00,238
2018-07-16 00:00:00+00:00,239
2018-07-23 00:00:00+00:00,240
2018-08-09 00:00:00+00:00,241
2018-08-16 00:00:00+00:00,242
2018-08-17 00:00:00+00:00,243
2018-08-20 00:00:00+00:00,244
2018-08-22 00:00:00+00:00,245
2018-08-29 00:00:00+00:00,246
2018-08-30 00:00:00+00:00,247
2018-09-02 00:00:00+00:00,248
2018-09-04 00:00:00+00:00,249
2018-09-05 00:00:00+00:00,250
2018-09-06 00:00:00+00:00,251
2018-09-10 00:00:00+00:00,252
2018-09-11 00:00:00+00:00,253
2018-09-12 00:00:00+00:00,255
2018-09-14 00:00:00+00:00,256
2018-09-16 00:00:00+00:00,257
2018-09-24 00:00:00+00:00,258
2018-09-27 00:00:00+00:00,260
2018-10-03 00:00:00+00:00,261
2018-10-08 00:00:00+00:00,262
2018-10-09 00:00:00+00:00,263
2018-10-11 00:00:00+00:00,264
2018-10-15 00:00:00+00:00,266
2018-10-17 00:00:00+00:00,267
2018-10-19 00:00:00+00:00,268
2018-10-26 00:00:00+00:00,269
2018-10-28 00:00:00+00:00,270
2018-10-29 00:00:00+00:00,272
2018-11-05 00:00:00+00:00,274
2018-11-06 00:00:00+00:00,275
2018-11-08 00:00:00+00:00,277
2018-11-11 00:00:00+00:00,278
2018-11-12 00:00:00+00:00,279
2018-11-13 00:00:00+00:00,280
2018-11-17 00:00:00+00:00,281
2018-11-19 00:00:00+00:00,284
2018-11-21 00:00:00+00:00,285
2018-11-25 00:00:00+00:00,286
