referrer,views_total,views_unique
Google,3172,859
stnava.github.io,663,201
github.com,263,74
sourceforge.net,125,51
Bing,124,46
DuckDuckGo,86,16
cn.bing.com,70,26
dataportal.brainminds.jp,52,17
andysbrainbook.readthedocs.io,32,21
link.zhihu.com,32,15
