referrer,views_total,views_unique
Google,2078,557
stnava.github.io,499,146
github.com,276,69
Bing,151,48
sourceforge.net,83,28
cn.bing.com,77,36
link.zhihu.com,53,18
andysbrainbook.readthedocs.io,46,16
dataportal.brainminds.jp,44,10
DuckDuckGo,31,8
