referrer,views_total,views_unique
Google,2677,808
stnava.github.io,604,190
github.com,458,86
Bing,141,43
sourceforge.net,121,48
link.zhihu.com,67,25
DuckDuckGo,66,20
cn.bing.com,61,27
search.brave.com,40,3
dataportal.brainminds.jp,27,11
