referrer,views_total,views_unique
Google,2389,954
github.com,256,88
Bing,188,74
stnava.github.io,184,69
chatgpt.com,162,69
cn.bing.com,108,48
andysbrainbook.readthedocs.io,59,25
DuckDuckGo,45,20
dataportal.brainminds.jp,44,15
link.zhihu.com,27,15
