referrer,views_total,views_unique
Google,2425,804
stnava.github.io,463,158
github.com,192,70
Bing,155,49
cn.bing.com,120,54
sourceforge.net,102,39
andysbrainbook.readthedocs.io,37,25
DuckDuckGo,31,13
link.zhihu.com,24,14
dataportal.brainminds.jp,24,13
