referrer,views_total,views_unique
Google,2736,798
stnava.github.io,493,172
github.com,319,81
Bing,145,47
sourceforge.net,107,49
DuckDuckGo,56,15
search.lilo.org,50,2
cn.bing.com,47,21
andysbrainbook.readthedocs.io,44,22
nature.com,42,3
