referrer,views_total,views_unique
Google,3165,888
stnava.github.io,574,165
github.com,224,74
Bing,159,58
sourceforge.net,100,48
cn.bing.com,66,23
DuckDuckGo,57,13
andysbrainbook.readthedocs.io,54,26
dataportal.brainminds.jp,37,15
search.brave.com,22,7
