time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-11-19 00:00:00+00:00,32,18,564,213
2024-11-20 00:00:00+00:00,39,29,592,231
2024-11-21 00:00:00+00:00,28,19,570,233
2024-11-22 00:00:00+00:00,19,16,575,194
2024-11-23 00:00:00+00:00,7,7,160,75
2024-11-24 00:00:00+00:00,11,11,158,81
2024-11-25 00:00:00+00:00,30,23,577,207
2024-11-26 00:00:00+00:00,39,26,673,218
2024-11-27 00:00:00+00:00,50,27,639,218
2024-11-28 00:00:00+00:00,29,17,536,191
2024-11-29 00:00:00+00:00,11,10,350,135
2024-11-30 00:00:00+00:00,17,15,198,75
2024-12-01 00:00:00+00:00,13,12,196,71
2024-12-02 00:00:00+00:00,23,21,584,213
