referrer,views_total,views_unique
Google,2802,795
stnava.github.io,782,165
github.com,453,94
Bing,155,69
cn.bing.com,99,43
sourceforge.net,94,37
dataportal.brainminds.jp,64,20
andysbrainbook.readthedocs.io,50,29
ecosia.org,50,4
DuckDuckGo,43,19
