referrer,views_total,views_unique
Google,2889,735
stnava.github.io,497,173
github.com,405,74
Bing,121,41
sourceforge.net,119,35
DuckDuckGo,91,13
dataportal.brainminds.jp,68,16
link.zhihu.com,62,22
cn.bing.com,51,29
andysbrainbook.readthedocs.io,45,23
