referrer,views_total,views_unique
Google,2823,802
stnava.github.io,578,176
github.com,226,74
Bing,150,61
sourceforge.net,99,41
cn.bing.com,95,30
DuckDuckGo,48,17
andysbrainbook.readthedocs.io,46,24
dataportal.brainminds.jp,44,17
search.brave.com,31,9
