referrer,views_total,views_unique
Google,3499,927
stnava.github.io,693,222
github.com,303,89
Bing,199,60
sourceforge.net,112,44
cn.bing.com,68,31
link.zhihu.com,60,20
DuckDuckGo,50,15
andysbrainbook.readthedocs.io,47,24
dataportal.brainminds.jp,37,16
