referrer,views_total,views_unique
Google,3575,980
stnava.github.io,698,221
github.com,336,94
Bing,195,62
sourceforge.net,122,49
cn.bing.com,73,35
link.zhihu.com,55,18
DuckDuckGo,48,16
andysbrainbook.readthedocs.io,41,24
picsl.upenn.edu,33,2
