referrer,views_total,views_unique
Google,2678,818
stnava.github.io,523,178
github.com,309,83
Bing,144,50
sourceforge.net,95,39
DuckDuckGo,54,16
cn.bing.com,50,22
search.lilo.org,49,2
nature.com,42,3
search.brave.com,41,5
