referrer,views_total,views_unique
Google,2689,763
stnava.github.io,739,153
github.com,426,88
Bing,138,65
cn.bing.com,96,40
sourceforge.net,96,35
dataportal.brainminds.jp,50,19
ecosia.org,50,4
andysbrainbook.readthedocs.io,44,26
DuckDuckGo,42,18
