referrer,views_total,views_unique
Google,1690,424
stnava.github.io,398,114
github.com,270,63
Bing,149,45
sourceforge.net,72,23
cn.bing.com,55,24
dataportal.brainminds.jp,51,10
link.zhihu.com,45,15
andysbrainbook.readthedocs.io,36,12
DuckDuckGo,29,7
