referrer,views_total,views_unique
Google,3130,921
github.com,415,114
stnava.github.io,370,137
Bing,205,83
cn.bing.com,115,41
sourceforge.net,97,28
DuckDuckGo,67,19
dataportal.brainminds.jp,60,21
andysbrainbook.readthedocs.io,47,22
link.zhihu.com,28,13
