referrer,views_total,views_unique
Google,705,419
github.com,351,136
Bing,89,64
chatgpt.com,64,37
stnava.github.io,45,17
DuckDuckGo,14,8
dataportal.brainminds.jp,12,6
andysbrainbook.readthedocs.io,10,9
teams.public.onecdn.static.microsoft,10,4
search.brave.com,8,6
