referrer,views_total,views_unique
Google,2074,802
stnava.github.io,492,187
github.com,428,90
sourceforge.net,108,53
link.zhihu.com,54,23
Bing,50,30
DuckDuckGo,28,15
cn.bing.com,21,14
evernote.com,18,4
Baidu,15,8
