time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-21 00:00:00+00:00,74,44,303,75
2024-01-22 00:00:00+00:00,96,80,623,188
2024-01-23 00:00:00+00:00,407,342,758,179
2024-01-24 00:00:00+00:00,179,138,681,197
2024-01-25 00:00:00+00:00,416,334,503,176
2024-01-26 00:00:00+00:00,225,193,539,154
2024-01-27 00:00:00+00:00,31,13,132,53
2024-01-28 00:00:00+00:00,23,15,163,57
2024-01-29 00:00:00+00:00,279,240,721,163
2024-01-30 00:00:00+00:00,403,342,747,177
2024-01-31 00:00:00+00:00,347,286,754,174
2024-02-01 00:00:00+00:00,181,135,590,165
2024-02-02 00:00:00+00:00,359,318,502,160
2024-02-03 00:00:00+00:00,50,41,258,81
