referrer,views_total,views_unique
Google,2842,814
stnava.github.io,533,172
github.com,274,80
Bing,171,64
sourceforge.net,120,43
cn.bing.com,84,28
dataportal.brainminds.jp,44,16
DuckDuckGo,39,19
andysbrainbook.readthedocs.io,38,25
search.brave.com,36,9
