time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-05 00:00:00+00:00,106.0,84.0,498,184
2025-08-06 00:00:00+00:00,70.0,42.0,361,159
2025-08-07 00:00:00+00:00,87.0,56.0,391,178
2025-08-08 00:00:00+00:00,68.0,46.0,307,125
2025-08-09 00:00:00+00:00,39.0,24.0,97,50
2025-08-10 00:00:00+00:00,47.0,32.0,172,67
2025-08-11 00:00:00+00:00,85.0,49.0,427,160
2025-08-12 00:00:00+00:00,91.0,56.0,383,186
2025-08-13 00:00:00+00:00,108.0,78.0,431,185
2025-08-14 00:00:00+00:00,4.0,4.0,394,169
2025-08-15 00:00:00+00:00,,,325,131
2025-08-16 00:00:00+00:00,,,136,54
2025-08-17 00:00:00+00:00,,,138,56
2025-08-18 00:00:00+00:00,,,396,176
