referrer,views_total,views_unique
Google,2820,884
stnava.github.io,361,120
github.com,261,75
Bing,172,74
cn.bing.com,134,43
DuckDuckGo,82,32
sourceforge.net,54,28
andysbrainbook.readthedocs.io,48,19
dataportal.brainminds.jp,30,11
ecosia.org,23,7
