url_path,views_total,views_unique
/ANTsX/ANTs,1078,625
/ANTsX/ANTs/wiki/Compiling-ANTs-on-Linux-and-Mac-OS,526,245
/ANTsX/ANTs/releases,329,192
/ANTsX/ANTs/wiki/Anatomy-of-an-antsRegistration-call,300,179
/ANTsX/ANTs/blob/master/Scripts/antsRegistrationSyN.sh,299,72
/ANTsX/ANTs/blob/master/Scripts/antsMultivariateTemplateConstruction2.sh,194,54
/ANTsX/ANTs/wiki/ANTS-and-antsRegistration,177,106
"/ANTsX/ANTs/wiki/Forward-and-inverse-warps-for-warping-images,-pointsets-and-Jacobians",173,105
/ANTsX/ANTs/issues,151,48
/ANTsX/ANTs/blob/master/Scripts/newAntsExample.sh,147,56
