time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-21 00:00:00+00:00,105,47,95,60
2026-06-22 00:00:00+00:00,115,54,230,122
2026-06-23 00:00:00+00:00,128,64,194,117
2026-06-24 00:00:00+00:00,129,69,310,119
2026-06-25 00:00:00+00:00,97,54,233,113
2026-06-26 00:00:00+00:00,99,77,247,106
2026-06-27 00:00:00+00:00,37,28,79,57
2026-06-28 00:00:00+00:00,86,51,90,68
2026-06-29 00:00:00+00:00,68,59,216,131
2026-06-30 00:00:00+00:00,100,54,204,123
2026-07-01 00:00:00+00:00,190,174,204,114
2026-07-02 00:00:00+00:00,74,50,236,114
2026-07-03 00:00:00+00:00,122,96,226,102
2026-07-04 00:00:00+00:00,87,52,233,101
