time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-30 00:00:00+00:00,42,28,144,62
2025-08-31 00:00:00+00:00,54,25,135,54
2025-09-01 00:00:00+00:00,188,163,470,142
2025-09-02 00:00:00+00:00,78,49,475,177
2025-09-03 00:00:00+00:00,56,35,522,174
2025-09-04 00:00:00+00:00,68,43,500,178
2025-09-05 00:00:00+00:00,67,44,362,155
2025-09-06 00:00:00+00:00,34,28,146,62
2025-09-07 00:00:00+00:00,38,35,139,57
2025-09-08 00:00:00+00:00,50,40,407,168
2025-09-09 00:00:00+00:00,72,47,435,181
2025-09-10 00:00:00+00:00,66,40,390,158
2025-09-11 00:00:00+00:00,69,42,449,169
2025-09-12 00:00:00+00:00,109,53,405,157
