referrer,views_total,views_unique
Google,3042,926
stnava.github.io,419,130
github.com,223,77
Bing,198,66
cn.bing.com,129,60
sourceforge.net,74,28
chatgpt.com,70,29
dataportal.brainminds.jp,61,19
andysbrainbook.readthedocs.io,58,30
DuckDuckGo,40,20
