referrer,views_total,views_unique
Google,2427,968
Bing,257,81
github.com,206,79
stnava.github.io,160,77
cn.bing.com,137,43
chatgpt.com,136,61
nl.search.yahoo.com,64,1
search.brave.com,53,5
hub.docker.com,41,11
dataportal.brainminds.jp,38,13
