url_path,views_total,views_unique
/ANTsX/ANTs,1346,674
/ANTsX/ANTs/wiki/Compiling-ANTs-on-Linux-and-Mac-OS,490,250
/ANTsX/ANTs/blob/master/Scripts/antsRegistrationSyN.sh,357,77
/ANTsX/ANTs/releases,334,199
/ANTsX/ANTs/wiki/Anatomy-of-an-antsRegistration-call,258,159
/ANTsX/ANTs/blob/master/Scripts/newAntsExample.sh,239,67
/ANTsX/ANTs/issues,229,50
"/ANTsX/ANTs/wiki/Forward-and-inverse-warps-for-warping-images,-pointsets-and-Jacobians",197,112
/ANTsX/ANTs/wiki/ANTS-and-antsRegistration,192,132
/ANTsX/ANTs/blob/master/Scripts/antsMultivariateTemplateConstruction2.sh,140,51
