referrer,views_total,views_unique
Google,2838,792
stnava.github.io,496,167
github.com,231,70
Bing,135,40
sourceforge.net,111,48
DuckDuckGo,52,16
search.lilo.org,50,2
andysbrainbook.readthedocs.io,46,23
cn.bing.com,46,20
nature.com,39,1
