referrer,views_total,views_unique
Google,779,435
github.com,319,163
Bing,99,64
chatgpt.com,48,24
stnava.github.io,28,18
sourceforge.net,13,6
dataportal.brainminds.jp,12,7
andysbrainbook.readthedocs.io,9,5
DuckDuckGo,6,5
claude.ai,6,3
