time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-04-01 00:00:00+00:00,151,109,585,250
2025-04-02 00:00:00+00:00,85,57,653,210
2025-04-03 00:00:00+00:00,63,45,568,227
2025-04-04 00:00:00+00:00,96,64,514,181
2025-04-05 00:00:00+00:00,36,27,125,60
2025-04-06 00:00:00+00:00,49,27,184,68
2025-04-07 00:00:00+00:00,99,48,657,249
2025-04-08 00:00:00+00:00,89,52,654,265
2025-04-09 00:00:00+00:00,115,53,563,232
2025-04-10 00:00:00+00:00,85,49,502,217
2025-04-11 00:00:00+00:00,119,70,458,186
2025-04-12 00:00:00+00:00,30,22,147,73
2025-04-13 00:00:00+00:00,28,22,224,83
2025-04-14 00:00:00+00:00,85,57,590,213
