time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-05 00:00:00+00:00,122,59,594,199
2025-06-06 00:00:00+00:00,115,71,514,159
2025-06-07 00:00:00+00:00,70,38,195,80
2025-06-08 00:00:00+00:00,61,39,260,87
2025-06-09 00:00:00+00:00,74,45,489,191
2025-06-10 00:00:00+00:00,134,63,542,229
2025-06-11 00:00:00+00:00,93,58,550,217
2025-06-12 00:00:00+00:00,139,92,1311,208
2025-06-13 00:00:00+00:00,152,109,467,167
2025-06-14 00:00:00+00:00,57,38,141,57
2025-06-15 00:00:00+00:00,119,104,189,90
2025-06-16 00:00:00+00:00,101,56,533,200
2025-06-17 00:00:00+00:00,129,65,448,188
2025-06-18 00:00:00+00:00,117,57,486,182
