time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-17 00:00:00+00:00,21,17,497,187
2024-09-18 00:00:00+00:00,32,18,590,202
2024-09-19 00:00:00+00:00,22,18,750,190
2024-09-20 00:00:00+00:00,20,13,559,169
2024-09-21 00:00:00+00:00,9,7,248,84
2024-09-22 00:00:00+00:00,20,14,250,77
2024-09-23 00:00:00+00:00,33,20,494,185
2024-09-24 00:00:00+00:00,19,16,766,239
2024-09-25 00:00:00+00:00,29,23,682,204
2024-09-26 00:00:00+00:00,47,36,675,229
2024-09-27 00:00:00+00:00,49,25,558,194
2024-09-28 00:00:00+00:00,16,14,190,88
2024-09-29 00:00:00+00:00,20,16,172,85
2024-09-30 00:00:00+00:00,26,22,406,173
