time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-22 00:00:00+00:00,15,14,741,219
2024-07-23 00:00:00+00:00,75,28,890,200
2024-07-24 00:00:00+00:00,55,35,647,219
2024-07-25 00:00:00+00:00,40,22,813,218
2024-07-26 00:00:00+00:00,33,15,576,175
2024-07-27 00:00:00+00:00,13,13,157,61
2024-07-28 00:00:00+00:00,15,14,226,62
2024-07-29 00:00:00+00:00,26,18,644,207
2024-07-30 00:00:00+00:00,50,30,705,212
2024-07-31 00:00:00+00:00,23,15,750,200
2024-08-01 00:00:00+00:00,34,29,787,223
2024-08-02 00:00:00+00:00,29,23,764,207
2024-08-03 00:00:00+00:00,28,17,172,70
2024-08-04 00:00:00+00:00,8,8,202,109
