referrer,views_total,views_unique
Google,3198,844
stnava.github.io,505,167
github.com,285,70
Bing,114,35
sourceforge.net,100,49
cn.bing.com,98,30
link.zhihu.com,58,24
andysbrainbook.readthedocs.io,48,9
jeffduda.github.io,33,2
DuckDuckGo,32,13
