time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-14 00:00:00+00:00,57,38,141,57
2025-06-15 00:00:00+00:00,119,104,189,90
2025-06-16 00:00:00+00:00,101,56,533,200
2025-06-17 00:00:00+00:00,129,65,448,188
2025-06-18 00:00:00+00:00,143,64,492,187
2025-06-19 00:00:00+00:00,245,60,387,168
2025-06-20 00:00:00+00:00,141,79,381,167
2025-06-21 00:00:00+00:00,99,34,158,62
2025-06-22 00:00:00+00:00,35,23,111,56
2025-06-23 00:00:00+00:00,176,119,502,190
2025-06-24 00:00:00+00:00,77,53,505,188
2025-06-25 00:00:00+00:00,196,136,473,185
2025-06-26 00:00:00+00:00,143,96,562,189
2025-06-27 00:00:00+00:00,65,47,344,154
