referrer,views_total,views_unique
Google,1611,736
github.com,410,133
Bing,173,62
chatgpt.com,89,37
stnava.github.io,48,30
app.raindrop.io,37,2
andysbrainbook.readthedocs.io,28,12
DuckDuckGo,27,13
search.brave.com,25,8
dataportal.brainminds.jp,22,8
