time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-01-08 00:00:00+00:00,84,40,554,177
2024-01-09 00:00:00+00:00,66,43,609,197
2024-01-10 00:00:00+00:00,64,40,664,188
2024-01-11 00:00:00+00:00,77,47,772,185
2024-01-12 00:00:00+00:00,60,36,748,177
2024-01-13 00:00:00+00:00,24,15,216,57
2024-01-14 00:00:00+00:00,27,13,333,69
2024-01-15 00:00:00+00:00,144,120,631,162
2024-01-16 00:00:00+00:00,91,40,749,176
2024-01-17 00:00:00+00:00,71,40,735,176
2024-01-18 00:00:00+00:00,217,159,685,190
2024-01-19 00:00:00+00:00,207,148,475,147
2024-01-20 00:00:00+00:00,26,16,396,68
2024-01-21 00:00:00+00:00,54,27,285,71
