time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-06-08 00:00:00+00:00,61,39,260,87
2025-06-09 00:00:00+00:00,74,45,489,191
2025-06-10 00:00:00+00:00,134,63,542,229
2025-06-11 00:00:00+00:00,93,58,550,217
2025-06-12 00:00:00+00:00,139,92,1311,208
2025-06-13 00:00:00+00:00,152,109,467,167
2025-06-14 00:00:00+00:00,57,38,141,57
2025-06-15 00:00:00+00:00,119,104,189,90
2025-06-16 00:00:00+00:00,101,56,533,200
2025-06-17 00:00:00+00:00,129,65,448,188
2025-06-18 00:00:00+00:00,143,64,492,187
2025-06-19 00:00:00+00:00,245,60,387,168
2025-06-20 00:00:00+00:00,141,79,381,167
2025-06-21 00:00:00+00:00,87,30,152,61
