referrer,views_total,views_unique
Google,2969,874
stnava.github.io,308,111
github.com,262,82
Bing,217,79
cn.bing.com,177,61
sourceforge.net,109,31
chatgpt.com,84,33
DuckDuckGo,79,17
link.csdn.net,51,19
discourse.slicer.org,36,2
