referrer,views_total,views_unique
Google,3143,870
stnava.github.io,619,184
github.com,288,80
Bing,169,56
sourceforge.net,104,42
DuckDuckGo,44,13
search.brave.com,44,5
nature.com,42,3
cn.bing.com,40,20
search.lilo.org,38,2
