time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-03 00:00:00+00:00,93,84,187,49
2023-09-04 00:00:00+00:00,112,95,354,115
2023-09-05 00:00:00+00:00,79,47,597,175
2023-09-06 00:00:00+00:00,80,44,708,167
2023-09-07 00:00:00+00:00,77,43,551,173
2023-09-08 00:00:00+00:00,47,29,457,153
2023-09-09 00:00:00+00:00,24,19,163,51
2023-09-10 00:00:00+00:00,42,20,223,57
2023-09-11 00:00:00+00:00,57,34,544,175
2023-09-12 00:00:00+00:00,106,47,681,204
2023-09-13 00:00:00+00:00,72,48,771,184
2023-09-14 00:00:00+00:00,50,30,710,206
2023-09-15 00:00:00+00:00,119,96,595,164
2023-09-16 00:00:00+00:00,26,15,155,63
