referrer,views_total,views_unique
Google,3004,1049
github.com,320,108
cn.bing.com,194,76
stnava.github.io,175,90
Bing,166,78
chatgpt.com,63,38
sourceforge.net,60,22
DuckDuckGo,54,24
andysbrainbook.readthedocs.io,49,17
dataportal.brainminds.jp,43,15
