referrer,views_total,views_unique
Google,2482,842
stnava.github.io,541,214
github.com,352,93
Bing,102,33
DuckDuckGo,98,22
sourceforge.net,91,42
cn.bing.com,70,34
link.zhihu.com,69,22
dataportal.brainminds.jp,26,9
andysbrainbook.readthedocs.io,16,13
