time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-09-12 00:00:00+00:00,106,47,681,204
2023-09-13 00:00:00+00:00,72,48,771,184
2023-09-14 00:00:00+00:00,50,30,710,206
2023-09-15 00:00:00+00:00,119,96,595,164
2023-09-16 00:00:00+00:00,31,18,162,68
2023-09-17 00:00:00+00:00,30,22,140,57
2023-09-18 00:00:00+00:00,156,107,565,186
2023-09-19 00:00:00+00:00,54,31,468,167
2023-09-20 00:00:00+00:00,52,41,442,151
2023-09-21 00:00:00+00:00,60,38,624,184
2023-09-22 00:00:00+00:00,54,38,631,165
2023-09-23 00:00:00+00:00,25,15,199,62
2023-09-24 00:00:00+00:00,38,27,186,60
2023-09-25 00:00:00+00:00,75,35,593,176
