referrer,views_total,views_unique
Google,1485,700
github.com,551,232
Bing,149,89
stnava.github.io,107,51
chatgpt.com,107,49
qwant.com,42,8
statics.teams.cdn.office.net,29,10
dataportal.brainminds.jp,29,9
link.csdn.net,16,8
andysbrainbook.readthedocs.io,14,10
