time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-09-06 00:00:00+00:00,25,17,641,174
2024-09-07 00:00:00+00:00,15,14,154,63
2024-09-08 00:00:00+00:00,9,8,166,73
2024-09-09 00:00:00+00:00,15,11,634,187
2024-09-10 00:00:00+00:00,25,18,711,222
2024-09-11 00:00:00+00:00,26,23,571,212
2024-09-12 00:00:00+00:00,30,23,695,218
2024-09-13 00:00:00+00:00,31,25,525,177
2024-09-14 00:00:00+00:00,9,8,247,77
2024-09-15 00:00:00+00:00,14,13,282,85
2024-09-16 00:00:00+00:00,24,19,710,180
2024-09-17 00:00:00+00:00,21,17,497,187
2024-09-18 00:00:00+00:00,32,18,590,202
2024-09-19 00:00:00+00:00,21,17,725,186
