time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-18 00:00:00+00:00,134,77,78,52
2026-07-19 00:00:00+00:00,169,106,73,56
2026-07-20 00:00:00+00:00,121,81,180,107
2026-07-21 00:00:00+00:00,213,112,171,105
2026-07-22 00:00:00+00:00,97,56,188,110
2026-07-23 00:00:00+00:00,114,85,208,124
2026-07-24 00:00:00+00:00,119,99,231,117
2026-07-25 00:00:00+00:00,51,40,97,69
2026-07-26 00:00:00+00:00,80,55,93,41
2026-07-27 00:00:00+00:00,106,51,123,75
2026-07-28 00:00:00+00:00,101,49,193,84
2026-07-29 00:00:00+00:00,74,48,294,141
2026-07-30 00:00:00+00:00,79,43,389,145
2026-07-31 00:00:00+00:00,172,122,210,115
