referrer,views_total,views_unique
Google,2864,980
github.com,403,84
Bing,173,72
stnava.github.io,159,89
chatgpt.com,112,56
cn.bing.com,112,46
sourceforge.net,81,20
DuckDuckGo,47,15
link.zhihu.com,31,11
andysbrainbook.readthedocs.io,27,17
