referrer,views_total,views_unique
Google,2836,844
stnava.github.io,589,202
github.com,359,74
Bing,132,39
sourceforge.net,102,54
DuckDuckGo,90,17
link.zhihu.com,76,22
cn.bing.com,39,21
Baidu,31,6
ecosia.org,23,3
